towerName,rotationAngle,towerImageName,unitName,unitSvgOnTower,unitHoverSvg,unitType,directionThumbnail,towerMinimap
Tower B,0,tow-b-ang-0.jpg,B-0003,44.66 88.1,44.66 88.1 44.66 88.1 44.66 88.1 44.66 88.1,2BHK-Type-1,tow-b-ang-0-tb.png,
Tower B,0,tow-b-ang-0.jpg,B-0103,44.63 84.13,44.64 84.13 44.64 84.13 44.64 84.13 44.64 84.13,2BHK-Type-1,tow-b-ang-0-tb.png,
Tower B,0,tow-b-ang-0.jpg,B-0203,44.62 80.17,44.62 80.17 44.62 80.17 44.62 80.17 44.62 80.17,2BHK-Type-1,tow-b-ang-0-tb.png,
Tower B,0,tow-b-ang-0.jpg,B-0303,44.59 76.2,44.59 76.2 44.59 76.2 44.59 76.2 44.59 76.2,2BHK-Type-1,tow-b-ang-0-tb.png,
Tower B,0,tow-b-ang-0.jpg,B-0403,44.57 72.23,44.57 72.23 44.57 72.23 44.57 72.23 44.57 72.23,2BHK-Type-1,tow-b-ang-0-tb.png,
Tower B,0,tow-b-ang-0.jpg,B-0503,44.54 68.26,44.54 68.26 44.54 68.26 44.54 68.26 44.54 68.26,2BHK-Type-1,tow-b-ang-0-tb.png,
Tower B,0,tow-b-ang-0.jpg,B-0603,44.51 64.29,44.52 64.29 44.52 64.29 44.52 64.29 44.52 64.29,2BHK-Type-1,tow-b-ang-0-tb.png,
Tower B,0,tow-b-ang-0.jpg,B-0703,44.49 60.33,44.49 60.33 44.49 60.33 44.49 60.33 44.49 60.33,2BHK-Type-1,tow-b-ang-0-tb.png,
Tower B,0,tow-b-ang-0.jpg,B-0803,44.47 56.36,44.47 56.36 44.47 56.36 44.47 56.36 44.47 56.36,2BHK-Type-1,tow-b-ang-0-tb.png,
Tower B,0,tow-b-ang-0.jpg,B-0903,44.45 52.39,44.45 52.39 44.45 52.39 44.45 52.39 44.45 52.39,2BHK-Type-1,tow-b-ang-0-tb.png,
Tower B,0,tow-b-ang-0.jpg,B-01003,44.42 48.42,44.42 48.42 44.42 48.42 44.42 48.42 44.42 48.42,2BHK-Type-1,tow-b-ang-0-tb.png,
Tower B,0,tow-b-ang-0.jpg,B-01103,44.4 44.45,44.4 44.45 44.4 44.45 44.4 44.45 44.4 44.45,2BHK-Type-1,tow-b-ang-0-tb.png,
Tower B,0,tow-b-ang-0.jpg,B-01203,44.37 40.48,44.37 40.48 44.37 40.48 44.37 40.48 44.37 40.48,2BHK-Type-1,tow-b-ang-0-tb.png,
Tower B,0,tow-b-ang-0.jpg,B-01303,44.35 36.52,44.35 36.52 44.35 36.52 44.35 36.52 44.35 36.52,2BHK-Type-1,tow-b-ang-0-tb.png,
Tower B,0,tow-b-ang-0.jpg,B-01403,44.32 32.55,44.33 32.55 44.33 32.55 44.33 32.55 44.33 32.55,2BHK-Type-1,tow-b-ang-0-tb.png,
Tower B,0,tow-b-ang-0.jpg,B-01503,44.3 28.58,44.3 28.58 44.3 28.58 44.3 28.58 44.3 28.58,2BHK-Type-1,tow-b-ang-0-tb.png,
Tower B,0,tow-b-ang-0.jpg,B-01603,44.28 24.61,44.27 24.61 44.27 24.61 44.27 24.61 44.27 24.61,2BHK-Type-1,tow-b-ang-0-tb.png,
Tower B,0,tow-b-ang-0.jpg,B-01703,44.25 20.64,44.25 20.64 44.25 20.64 44.25 20.64 44.25 20.64,2BHK-Type-1,tow-b-ang-0-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0004,51.59 91.75,48.65 82.35 54.51 92.05 54.51 96.17 48.65 86.48,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0104,51.59 87.79,48.66 78.38 54.52 88.08 54.52 92.21 48.66 82.51,2BHK-Type-1,tow-b-ang-180-tb.png,
Tower B,180,tow-b-ang-180.jpg,B-0204,51.6 83.82,48.67 74.41 54.53 84.11 54.53 88.24 48.67 78.54,2BHK-Type-1,tow-b-ang-180-tb.png,
