towerName,rotationAngle,towerImageName,unitName,unitSvgOnTower,unitHoverSvg,unitType,directionThumbnail,towerMinimap
Tower C,180,tow-c-ang-180.jpg,C-0404,52.81 76.52,49.88 67.11 55.74 76.81 55.74 80.94 49.88 71.24,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0504,52.81 72.71,49.89 63.3 55.75 73 55.75 77.13 49.89 67.43,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0604,52.83 68.9,49.9 59.49 55.76 69.19 55.76 73.32 49.9 63.62,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0704,52.84 65.09,49.91 55.68 55.77 65.38 55.77 69.51 49.91 59.81,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0804,52.85 61.28,49.92 51.87 55.78 61.57 55.78 65.7 49.92 56,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0904,52.87 57.47,49.94 48.06 55.8 57.76 55.8 61.89 49.94 52.19,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-01004,52.88 53.66,49.95 44.25 55.81 53.95 55.81 58.08 49.95 48.38,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-01304,52.9 42.86,49.97 33.45 55.83 43.15 55.83 47.28 49.97 37.58,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-01404,52.91 38.58,49.98 29.17 55.84 38.87 55.84 43 49.98 33.3,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-01504,52.92 34.29,49.99 24.89 55.85 34.59 55.85 38.71 49.99 29.02,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-01604,52.93 30.01,50 20.6 55.86 30.3 55.86 34.43 50 24.73,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-01704,52.94 25.72,50.01 16.32 55.87 26.02 55.87 30.14 50.01 20.44,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0001,42.52 86.67,39.59 77.27 45.45 86.97 45.45 91.1 39.59 81.4,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0101,42.47 82.87,39.54 73.46 45.4 83.16 45.4 87.29 39.54 77.59,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0201,42.42 79.06,39.5 69.65 45.36 79.35 45.36 83.48 39.5 73.78,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0301,42.38 75.25,39.45 65.84 45.31 75.54 45.31 79.67 39.45 69.97,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0401,42.34 71.44,39.41 62.03 45.27 71.73 45.27 75.86 39.41 66.16,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0501,42.29 67.63,39.36 58.22 45.22 67.92 45.22 72.05 39.36 62.35,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0601,42.25 63.83,39.32 54.42 45.18 64.12 45.18 68.25 39.32 58.55,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0701,42.2 60.02,39.27 50.61 45.13 60.31 45.13 64.44 39.27 54.74,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0801,42.16 56.21,39.23 46.8 45.09 56.5 45.09 60.63 39.23 50.93,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-0901,42.11 52.4,39.18 42.99 45.04 52.69 45.04 56.82 39.18 47.12,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-01001,42.07 48.59,39.14 39.18 45 48.88 45 53.01 39.14 43.31,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-01101,42.03 44.78,39.09 35.37 44.95 45.07 44.95 49.2 39.09 39.5,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-01201,41.98 40.98,39.04 31.57 44.9 41.27 44.9 45.4 39.04 35.7,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-01301,41.93 37.17,39 27.76 44.86 37.46 44.86 41.59 39 31.89,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-01401,41.89 33.36,38.96 23.95 44.82 33.65 44.82 37.78 38.96 28.08,2BHK-Type-1,tow-c-ang-180-tb.png,
Tower C,180,tow-c-ang-180.jpg,C-01501,41.84 29.55,38.91 20.14 44.77 29.84 44.77 33.97 38.91 24.27,2BHK-Type-1,tow-c-ang-180-tb.png,
